record_id,ts,temperature,description
1,01/11/2017 00:00,276.15,broken clouds
2,01/11/2017 01:00,275.7,scattered clouds
3,01/11/2017 02:00,275.61,overcast clouds
4,01/11/2017 03:00,275.35,broken clouds
5,01/11/2017 04:00,275.24,broken clouds
6,01/11/2017 05:00,275.05,overcast clouds
7,01/11/2017 06:00,275.14,overcast clouds
8,01/11/2017 07:00,275.23,overcast clouds
9,01/11/2017 08:00,275.23,overcast clouds
10,01/11/2017 09:00,275.32,overcast clouds
11,01/11/2017 10:00,275.23,overcast clouds
12,01/11/2017 11:00,275.51,overcast clouds
13,01/11/2017 12:00,275.69,overcast clouds
14,01/11/2017 13:00,275.79,overcast clouds
15,01/11/2017 14:00,275.85,broken clouds
16,01/11/2017 15:00,276.6,broken clouds
17,01/11/2017 16:00,277.54,sky is clear
18,01/11/2017 17:00,278.32,overcast clouds
19,01/11/2017 18:00,279.35,overcast clouds
20,01/11/2017 19:00,279.52,overcast clouds
21,01/11/2017 20:00,279.7,overcast clouds
22,01/11/2017 21:00,279.34,mist
23,01/11/2017 22:00,278.93,mist
24,01/11/2017 23:00,278.51,mist
25,02/11/2017 00:00,278.32,mist
26,02/11/2017 01:00,278.42,mist
27,02/11/2017 02:00,278.85,drizzle
28,02/11/2017 03:00,279.06,light rain
29,02/11/2017 04:00,279.55,light rain
30,02/11/2017 05:00,279.75,light rain
31,02/11/2017 06:00,280.35,light rain
32,02/11/2017 07:00,280.6,moderate rain
33,02/11/2017 08:00,280.84,fog
34,02/11/2017 09:00,281.13,fog
35,02/11/2017 10:00,281.34,fog
36,02/11/2017 11:00,281.54,fog
37,02/11/2017 12:00,281.44,light rain
38,02/11/2017 13:00,281.94,fog
39,02/11/2017 14:00,281.92,fog
40,02/11/2017 15:00,282.34,light intensity drizzle
41,02/11/2017 16:00,282.54,light intensity drizzle
42,02/11/2017 17:00,283.33,mist
43,02/11/2017 18:00,283.63,mist
44,02/11/2017 19:00,283.54,light intensity drizzle
45,02/11/2017 20:00,283.25,moderate rain
46,02/11/2017 21:00,282.94,light rain
47,02/11/2017 22:00,283.04,drizzle
48,02/11/2017 23:00,282.84,drizzle
49,03/11/2017 00:00,282.68,moderate rain
50,03/11/2017 01:00,282.41,mist
51,03/11/2017 02:00,282.03,mist
52,03/11/2017 03:00,282.04,mist
53,03/11/2017 04:00,282.04,mist
54,03/11/2017 05:00,281.65,mist
55,03/11/2017 06:00,281.14,mist
56,03/11/2017 07:00,280.96,mist
57,03/11/2017 08:00,280.59,mist
58,03/11/2017 09:00,279.96,mist
59,03/11/2017 10:00,278.85,mist
60,03/11/2017 11:00,278.22,overcast clouds
61,03/11/2017 12:00,277.68,overcast clouds
62,03/11/2017 13:00,277.32,overcast clouds
63,03/11/2017 14:00,277.68,mist
64,03/11/2017 15:00,278.32,overcast clouds
65,03/11/2017 16:00,279.12,overcast clouds
66,03/11/2017 17:00,279.71,overcast clouds
67,03/11/2017 18:00,280.86,overcast clouds
68,03/11/2017 19:00,281.3,overcast clouds
69,03/11/2017 20:00,281.78,overcast clouds
70,03/11/2017 21:00,282.14,broken clouds
71,03/11/2017 22:00,281.64,broken clouds
72,03/11/2017 23:00,281.04,broken clouds
73,04/11/2017 00:00,280.69,broken clouds
74,04/11/2017 01:00,279.95,broken clouds
75,04/11/2017 02:00,280.04,scattered clouds
76,04/11/2017 03:00,279.67,few clouds
77,04/11/2017 04:00,279.68,sky is clear
78,04/11/2017 05:00,279.59,sky is clear
79,04/11/2017 06:00,279.41,sky is clear
80,04/11/2017 07:00,279.06,sky is clear
81,04/11/2017 08:00,278.88,sky is clear
82,04/11/2017 09:00,279.34,sky is clear
83,04/11/2017 10:00,279.86,sky is clear
84,04/11/2017 11:00,280.16,broken clouds
85,04/11/2017 12:00,280.15,mist
86,04/11/2017 13:00,279.75,mist
87,04/11/2017 14:00,279.85,light intensity drizzle
88,04/11/2017 15:00,279.75,mist
89,04/11/2017 16:00,279.78,thunderstorm with drizzle
90,04/11/2017 17:00,280.45,proximity thunderstorm
91,04/11/2017 18:00,280.69,light rain
92,04/11/2017 19:00,280.79,mist
93,04/11/2017 20:00,281.15,mist
94,04/11/2017 21:00,281.15,mist
95,04/11/2017 22:00,281.6,mist
96,04/11/2017 23:00,281.87,fog
97,05/11/2017 00:00,282.14,mist
98,05/11/2017 01:00,282.24,moderate rain
99,05/11/2017 02:00,282.77,fog
100,05/11/2017 03:00,283.23,fog
101,05/11/2017 04:00,283.25,light rain
102,05/11/2017 05:00,283.42,moderate rain
103,05/11/2017 06:00,283.23,fog
104,05/11/2017 07:00,283.33,fog
105,05/11/2017 08:00,283.24,light intensity drizzle
106,05/11/2017 09:00,283.25,fog
107,05/11/2017 10:00,283.15,fog
108,05/11/2017 11:00,283.14,fog
109,05/11/2017 12:00,283.14,fog
110,05/11/2017 13:00,283.04,drizzle
111,05/11/2017 14:00,283.05,moderate rain
112,05/11/2017 15:00,283.49,fog
113,05/11/2017 16:00,283.51,proximity thunderstorm
114,05/11/2017 17:00,283.44,light intensity drizzle
115,05/11/2017 18:00,283.88,proximity thunderstorm with rain
116,05/11/2017 19:00,283.44,proximity thunderstorm
117,05/11/2017 20:00,284.05,light rain
118,05/11/2017 21:00,283.88,mist
119,05/11/2017 22:00,283.78,mist
120,05/11/2017 23:00,283.75,overcast clouds
121,06/11/2017 00:00,283.51,overcast clouds
122,06/11/2017 01:00,283.15,overcast clouds
123,06/11/2017 02:00,283.15,overcast clouds
124,06/11/2017 03:00,282.79,overcast clouds
125,06/11/2017 04:00,282.6,overcast clouds
126,06/11/2017 05:00,281.78,overcast clouds
127,06/11/2017 06:00,280.96,overcast clouds
128,06/11/2017 07:00,279.51,overcast clouds
129,06/11/2017 08:00,277.62,overcast clouds
130,06/11/2017 09:00,277.23,broken clouds
131,06/11/2017 10:00,276.14,overcast clouds
132,06/11/2017 11:00,275.11,broken clouds
133,06/11/2017 12:00,274.67,overcast clouds
134,06/11/2017 13:00,273.91,overcast clouds
135,06/11/2017 14:00,273.51,broken clouds
136,06/11/2017 15:00,274.91,broken clouds
137,06/11/2017 16:00,276.01,broken clouds
138,06/11/2017 17:00,277.76,broken clouds
139,06/11/2017 18:00,278.32,broken clouds
140,06/11/2017 19:00,278.32,broken clouds
141,06/11/2017 20:00,278.33,broken clouds
142,06/11/2017 21:00,278.14,sky is clear
143,06/11/2017 22:00,278.82,broken clouds
144,06/11/2017 23:00,277.7,broken clouds
145,07/11/2017 00:00,277.15,scattered clouds
146,07/11/2017 01:00,277.05,broken clouds
147,07/11/2017 02:00,277.24,overcast clouds
148,07/11/2017 03:00,277.24,overcast clouds
149,07/11/2017 04:00,277.63,broken clouds
150,07/11/2017 05:00,277.49,overcast clouds
151,07/11/2017 06:00,277.4,overcast clouds
152,07/11/2017 07:00,277.49,broken clouds
153,07/11/2017 08:00,277.21,overcast clouds
154,07/11/2017 09:00,277.04,scattered clouds
155,07/11/2017 10:00,276.04,broken clouds
156,07/11/2017 11:00,275.63,overcast clouds
157,07/11/2017 12:00,275.33,overcast clouds
158,07/11/2017 13:00,275.33,overcast clouds
159,07/11/2017 14:00,276.49,overcast clouds
160,07/11/2017 15:00,277.75,broken clouds
161,07/11/2017 16:00,279.59,overcast clouds
162,07/11/2017 17:00,280.05,broken clouds
163,07/11/2017 18:00,280.54,broken clouds
164,07/11/2017 19:00,280.24,broken clouds
165,07/11/2017 20:00,280.34,scattered clouds
166,07/11/2017 21:00,280.35,overcast clouds
167,07/11/2017 22:00,279.93,overcast clouds
168,07/11/2017 23:00,279.24,light rain
169,08/11/2017 00:00,277.94,light rain
170,08/11/2017 01:00,277.41,overcast clouds
171,08/11/2017 02:00,275.95,broken clouds
172,08/11/2017 03:00,275.28,broken clouds
173,08/11/2017 04:00,274.55,scattered clouds
174,08/11/2017 05:00,273.23,sky is clear
175,08/11/2017 06:00,272.93,sky is clear
176,08/11/2017 07:00,272.49,sky is clear
177,08/11/2017 08:00,272.12,sky is clear
178,08/11/2017 09:00,271.67,sky is clear
179,08/11/2017 10:00,271.4,sky is clear
180,08/11/2017 11:00,270.84,mist
181,08/11/2017 12:00,271.25,mist
182,08/11/2017 13:00,270.31,mist
183,08/11/2017 14:00,270.93,mist
184,08/11/2017 15:00,273.76,mist
185,08/11/2017 16:00,276.41,sky is clear
186,08/11/2017 17:00,278.05,sky is clear
187,08/11/2017 18:00,279.44,sky is clear
188,08/11/2017 19:00,280.25,sky is clear
189,08/11/2017 20:00,280.94,sky is clear
190,08/11/2017 21:00,280.92,sky is clear
191,08/11/2017 22:00,280.7,sky is clear
192,08/11/2017 23:00,280.26,few clouds
193,09/11/2017 00:00,278.16,sky is clear
194,09/11/2017 01:00,276.34,sky is clear
195,09/11/2017 02:00,275.34,sky is clear
196,09/11/2017 03:00,274.15,sky is clear
197,09/11/2017 04:00,273.06,mist
198,09/11/2017 05:00,273.07,sky is clear
199,09/11/2017 06:00,272.61,sky is clear
200,09/11/2017 07:00,272.98,mist
